2023-11-20 19:45:48.313 [info] Эксперимент «pythonPromptNewFormatterExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonPromptNewToolsExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonRecommendTensorboardExt» активен
2023-11-20 19:45:48.313 [info] Эксперимент «pythonREPLSmartSendcf» активен
2023-11-20 19:45:48.314 [info] Эксперимент «pythonTestAdapter» активен
2023-11-20 19:45:48.367 [info] Default formatter is set to null for workspace /workspaces/144946272
2023-11-20 19:55:41.731 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:46.507 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:48.805 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:51.210 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:54.343 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:55.627 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:55:58.484 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:02.902 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:05.276 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:06.908 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:15.463 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:17.427 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:20.847 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:25.151 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:26.971 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:29.766 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
2023-11-20 19:56:33.504 [info] Discover tests for workspace name: 144946272 - uri: /workspaces/144946272/camel/camel.py
